Lema	Clase	Frecuencia	Frec. norm.	Frec. norm.
		general	con signos punt.	sin signos punt.
tercero	M	76451	192.829	221.462
arte	N	75875	191.376	219.794
edad	N	75752	191.066	219.437
riesgo	N	75671	190.862	219.203
amor	N	75635	190.771	219.099
ciento	N	75249	189.797	217.98
movimiento	N	74869	188.839	216.88
levantar	V	74703	188.42	216.399
modelo	N	74486	187.873	215.77
capacidad	N	74440	187.757	215.637
campo	N	74417	187.699	215.57
continuar	V	74135	186.988	214.753
alguien	Q	74025	186.71	214.435
falta	N	73883	186.352	214.023
red	N	73769	186.065	213.693
cultural	A	73766	186.057	213.684
calidad	N	73586	185.603	213.163
mejor	R	73092	184.357	211.732
región	N	72830	183.696	210.973
autor	N	72676	183.308	210.527
tampoco	R	72181	182.059	209.093
pagar	V	72088	181.825	208.824
menor	A	72056	181.744	208.731
especial	A	71837	181.192	208.097
tocar	V	71790	181.073	207.96
institución	N	71771	181.025	207.905
modo	N	71763	181.005	207.882
dinero	N	71701	180.848	207.703
natural	A	71637	180.687	207.517
ministro	N	71430	180.165	206.918
guerra	N	71264	179.746	206.437
control	N	70984	179.04	205.626
bajo	A	70761	178.478	204.98
1	N	70748	178.445	204.942
representar	V	70496	177.809	204.212
línea	N	70427	177.635	204.012
participar	V	70371	177.494	203.85
medio	M	70296	177.305	203.633
resto	N	70070	176.735	202.978
cerca	R	69984	176.518	202.729
película	N	69869	176.228	202.396
sí	L	69793	176.036	202.175
precio	N	69524	175.358	201.396
fuerte	A	69412	175.075	201.072
además de	P	69211	174.568	200.49
pie	N	69005	174.048	199.893
clase	N	68786	173.496	199.258
junto a	P	68626	173.093	198.795
mañana	N	68597	173.019	198.711
destacar	V	68554	172.911	198.586
acuerdo	N	68544	172.886	198.557
viejo	A	68476	172.714	198.36
suponer	V	68279	172.217	197.79
base	N	68242	172.124	197.683
actual	A	68239	172.116	197.674
acercar	V	68189	171.99	197.529
autoridad	N	67560	170.404	195.707
respuesta	N	67498	170.247	195.527
dólar	N	67481	170.205	195.478
cara	N	67413	170.033	195.281
difícil	A	67349	169.872	195.096
función	N	67348	169.869	195.093
peso	N	67184	169.455	194.618
informar	V	67068	169.163	194.282
diferencia	N	67053	169.125	194.238
comer	V	66979	168.938	194.024
	Y	66909	168.762	193.821
color	N	66863	168.646	193.688
acompañar	V	66747	168.353	193.352
oír	V	66707	168.252	193.236
afectar	V	66584	167.942	192.88
serie	N	66377	167.42	192.28
paciente	N	66235	167.062	191.869
orden	N	66013	166.502	191.226
iniciar	V	65798	165.96	190.603
conocimiento	N	65789	165.937	190.577
2	N	65723	165.77	190.386
actor	N	65651	165.589	190.177
presencia	N	65619	165.508	190.084
correr	V	65555	165.347	189.899
seis	M	65517	165.251	189.789
nacer	V	65462	165.112	189.63
mundial	A	65402	164.961	189.456
seguro	A	65198	164.446	188.865
a pesar de	P	65171	164.378	188.787
allá	R	65094	164.184	188.563
mesa	N	65011	163.975	188.323
chico	N	64991	163.924	188.265
tecnología	N	64956	163.836	188.164
tarde	N	64824	163.503	187.781
duda	N	64654	163.074	187.289
ocasión	N	64628	163.009	187.214
real	A	64197	161.921	185.965
apenas	R	64152	161.808	185.835
sufrir	V	64001	161.427	185.397
dedicar	V	63625	160.479	184.308
ciencia	N	63612	160.446	184.27
aspecto	N	63320	159.709	183.425
referir	V	63285	159.621	183.323
así como	C	63157	159.298	182.952
fuente	N	62905	158.663	182.222
subir	V	62846	158.514	182.052
es decir	C	62743	158.254	181.753
carrera	N	62711	158.173	181.66
suceder	V	62667	158.062	181.533
bajar	V	62583	157.851	181.29
escuela	N	62485	157.603	181.006
vista	N	62411	157.417	180.791
dormir	V	62071	156.559	179.806
